survived,class,sex,siblings_spouses,parents_children,fare,embarked,age,lifeboat,family_size,family_size_group,is_child,age_group
No,2nd,male,1,0,21,S,33,NS,2,small,adult,adult
No,3rd,male,0,0,7.75,S,51,NS,1,alone,adult,adult
Yes,2nd,male,1,1,18.75,S,3,4,3,small,child,child
No,3rd,male,0,0,7.775,S,21,NS,1,alone,adult,young adult
No,3rd,female,3,1,25.4667,S,3,NS,5,medium,child,child
No,3rd,male,0,0,7.8958,S,42,NS,1,alone,adult,adult
No,3rd,male,0,0,6.8583,Q,27,NS,1,alone,adult,young adult
Yes,1st,female,1,0,90,Q,33,14,2,small,adult,adult
No,2nd,male,0,0,21.648108487084873,S,21,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,7.925,S,44,15,1,alone,adult,adult
No,3rd,female,0,0,8.05,S,31,NS,1,alone,adult,adult
Yes,2nd,female,1,1,32.5,S,34,10,3,small,adult,adult
Yes,2nd,female,0,2,13,S,17,16,3,small,adult,young adult
No,2nd,male,0,0,13,S,30,NS,1,alone,adult,adult
No,3rd,female,0,2,24.15,S,10,NS,3,small,child,child
No,3rd,male,0,0,7.8958,C,25,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.7333,Q,28,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.875,S,29,NS,1,alone,adult,young adult
No,3rd,female,1,1,14.4,S,28,NS,3,small,adult,young adult
No,3rd,male,1,1,20.2125,S,18,NS,3,small,adult,young adult
No,3rd,male,0,0,7.25,S,54,NS,1,alone,adult,adult
Yes,2nd,female,1,0,26,S,28,14,2,small,adult,young adult
Yes,2nd,female,0,0,26,S,19,11,1,alone,adult,young adult
No,3rd,male,0,0,7.75,Q,28,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,8.05,S,32,9,1,alone,adult,adult
Yes,1st,male,0,0,26.55,S,28,D,1,alone,adult,young adult
Yes,3rd,female,1,0,16.1,S,32,10,2,small,adult,adult
Yes,2nd,female,1,0,26,S,42,14,2,small,adult,adult
No,3rd,male,0,0,7.125,S,17,NS,1,alone,adult,young adult
No,1st,male,1,0,55.9,S,50,NS,2,small,adult,adult
Yes,1st,female,1,2,120,S,13,4,4,small,child,child
No,3rd,female,2,2,34.375,S,20,NS,5,medium,adult,young adult
Yes,2nd,female,2,3,18.75,S,23,4,6,medium,adult,young adult
No,1st,male,1,4,263,S,64,NS,6,medium,adult,senior
No,2nd,male,0,0,10.5,S,31,NS,1,alone,adult,adult
Yes,2nd,female,1,1,26.25,S,48,14,3,small,adult,adult
No,3rd,male,0,0,9.5,S,19,NS,1,alone,adult,young adult
No,3rd,male,1,0,7.775,S,25,NS,2,small,adult,young adult
Yes,2nd,female,0,0,13,S,28,9,1,alone,adult,young adult
Yes,3rd,male,0,0,8.1125,S,29,13,1,alone,adult,young adult
Yes,1st,male,0,2,81.8583,S,4,5,3,small,child,child
Yes,2nd,female,0,1,19.5,S,13,14,2,small,child,child
Yes,1st,male,0,0,26.55,S,34,7,1,alone,adult,adult
Yes,3rd,female,2,1,19.2583,C,5,C,4,small,child,child
Yes,1st,male,0,0,30.5,S,52,6,1,alone,adult,adult
No,2nd,male,1,2,27.75,S,36,NS,4,small,adult,adult
No,3rd,male,1,0,19.9667,S,28,NS,2,small,adult,young adult
No,1st,male,0,0,27.75,C,30,NS,1,alone,adult,adult
Yes,1st,male,1,0,89.1042,C,47,5,2,small,adult,adult
No,3rd,male,0,0,8.05,S,24,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,7.8958,C,29,15,1,alone,adult,young adult
No,1st,male,0,0,26.55,S,65,NS,1,alone,adult,senior
Yes,1st,female,1,0,51.8625,S,31,8,2,small,adult,adult
Yes,2nd,female,0,0,10.5,S,48,9,1,alone,adult,adult
No,3rd,male,0,0,7.75,Q,16,NS,1,alone,adult,young adult
Yes,1st,male,0,0,26.55,S,47,3,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,34,NS,1,alone,adult,adult
No,1st,male,0,0,38.5,S,47,NS,1,alone,adult,adult
No,2nd,male,0,0,13,S,48,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,34,NS,1,alone,adult,adult
No,3rd,male,0,0,7.05,S,37,NS,1,alone,adult,adult
No,2nd,male,0,0,21.648108487084873,S,21,NS,1,alone,adult,young adult
No,1st,male,0,0,26.55,S,56,NS,1,alone,adult,adult
No,3rd,male,0,0,7.725,Q,22,NS,1,alone,adult,young adult
Yes,3rd,female,2,1,19.2583,C,0.75,C,4,small,child,child
No,3rd,male,0,0,7.25,S,39,A,1,alone,adult,adult
No,3rd,male,0,0,8.6625,S,38,NS,1,alone,adult,adult
Yes,2nd,female,1,2,27.75,S,33,10,4,small,adult,adult
Yes,2nd,female,0,0,13.7917,C,23,11,1,alone,adult,young adult
No,3rd,female,0,0,9.8375,S,22,NS,1,alone,adult,young adult
No,1st,male,0,0,52,S,40,NS,1,alone,adult,adult
No,2nd,male,1,0,21,S,33,NS,2,small,adult,adult
No,3rd,male,1,0,7.0458,S,29,NS,2,small,adult,young adult
No,3rd,male,0,0,7.5208,S,22,NS,1,alone,adult,young adult
Yes,3rd,female,0,1,12.2875,S,2,15,2,small,child,child
No,3rd,male,5,2,46.9,S,10,NS,8,large,child,child
No,2nd,male,0,0,21.648108487084873,S,37,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,50,NS,1,alone,adult,adult
Yes,3rd,female,0,0,9.5875,S,63,15,1,alone,adult,senior
Yes,1st,male,1,0,91.0792,C,25,7,2,small,adult,young adult
No,3rd,female,3,1,25.4667,S,8,NS,5,medium,child,child
Yes,1st,female,1,0,90,S,31,D,2,small,adult,adult
No,1st,male,0,0,29.7,C,58,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,30,NS,1,alone,adult,adult
Yes,3rd,male,1,1,15.9,S,3,2,3,small,child,child
No,3rd,male,1,0,19.9667,S,19,NS,2,small,adult,young adult
No,3rd,male,0,0,7.25,S,21,NS,1,alone,adult,young adult
No,1st,male,0,0,30.5,S,55,NS,1,alone,adult,adult
No,1st,male,0,0,49.5042,C,71,NS,1,alone,adult,senior
No,3rd,male,0,0,8.05,S,21,NS,1,alone,adult,young adult
No,3rd,male,0,0,14.4583,C,26,NS,1,alone,adult,young adult
Yes,1st,female,1,0,78.2667,C,54,4,2,small,adult,adult
No,3rd,male,0,0,15.1,S,55,NS,1,alone,adult,adult
No,1st,female,1,2,151.55,S,25,NS,4,small,adult,young adult
No,3rd,male,0,0,7.7958,S,24,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.6625,S,17,NS,1,alone,adult,young adult
No,3rd,female,0,0,7.75,Q,22,NS,1,alone,adult,young adult
No,3rd,female,0,0,7.6292,Q,21,NS,1,alone,adult,young adult
No,3rd,female,0,0,9.5875,S,37,NS,1,alone,adult,adult
Yes,1st,female,0,0,86.5,S,20,8,1,alone,adult,young adult
No,1st,male,1,0,108.9,C,24,NS,2,small,adult,young adult
Yes,2nd,female,0,2,26,S,33,11,3,small,adult,adult
Yes,1st,male,0,0,26.55,S,37,9,1,alone,adult,adult
No,3rd,male,0,0,22.525,S,28,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,56.4958,S,26,14,1,alone,adult,young adult
Yes,3rd,male,0,0,7.75,Q,29,B,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,66,NS,1,alone,adult,senior
Yes,1st,male,0,0,26.2875,S,35,7,1,alone,adult,adult
Yes,1st,female,1,0,59.4,C,54,6,2,small,adult,adult
No,3rd,male,0,0,7.4958,S,24,NS,1,alone,adult,young adult
No,1st,male,0,0,34.0208,S,48,NS,1,alone,adult,adult
Yes,2nd,female,0,0,10.5,S,34,14,1,alone,adult,adult
No,3rd,male,0,0,24.15,Q,29,NS,1,alone,adult,young adult
Yes,2nd,female,1,0,26,S,36,11,2,small,adult,adult
No,3rd,male,0,0,7.8958,S,32,NS,1,alone,adult,adult
Yes,1st,female,0,0,93.5,S,33,3,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,21,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.225,C,30,NS,1,alone,adult,adult
Yes,1st,female,0,1,57.9792,C,44,4,2,small,adult,adult
No,3rd,male,0,0,7.2292,C,18,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.75,Q,25,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,10.5,S,50,13,1,alone,adult,adult
No,1st,male,0,0,221.7792,S,57,NS,1,alone,adult,adult
No,3rd,male,0,0,7.925,S,39,NS,1,alone,adult,adult
No,2nd,male,2,1,11.5,S,23,NS,4,small,adult,young adult
Yes,2nd,female,1,1,26,S,2,11,3,small,child,child
No,3rd,male,0,0,7.2292,C,17,NS,1,alone,adult,young adult
No,3rd,male,1,1,7.2292,C,15,NS,3,small,adult,young adult
Yes,3rd,female,0,2,22.3583,C,24,C,3,small,adult,young adult
No,3rd,female,0,0,8.6625,S,30,NS,1,alone,adult,adult
Yes,2nd,female,0,2,26.25,S,7,14,3,small,child,child
No,1st,male,0,0,26.55,S,46,NS,1,alone,adult,adult
Yes,1st,female,0,0,106.425,C,27,2,1,alone,adult,young adult
No,3rd,male,0,0,14.5,S,69,NS,1,alone,adult,senior
Yes,1st,female,0,2,49.5,C,22,5,3,small,adult,young adult
Yes,1st,female,0,2,71,S,39,7,3,small,adult,adult
No,3rd,female,4,2,31.275,S,9,NS,7,medium,child,child
No,3rd,female,4,2,31.275,S,11,NS,7,medium,child,child
Yes,2nd,male,1,0,26,S,32,13,2,small,adult,adult
No,1st,male,1,0,106.425,C,50,NS,2,small,adult,adult
No,1st,male,0,0,26,S,64,NS,1,alone,adult,senior
Yes,2nd,female,1,0,26,S,19,13,2,small,adult,young adult
Yes,2nd,male,0,0,13.8625,C,26,9,1,alone,adult,young adult
No,3rd,male,1,1,20.525,S,33,NS,3,small,adult,adult
Yes,2nd,male,1,1,36.75,S,8,14,3,small,child,child
Yes,1st,male,0,2,110.8833,C,17,B,3,small,adult,young adult
No,2nd,male,0,0,26,S,27,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8292,Q,21,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,7.225,C,22,6,1,alone,adult,young adult
Yes,3rd,female,0,0,7.775,S,22,C,1,alone,adult,young adult
No,1st,male,0,0,26.55,S,62,NS,1,alone,adult,senior
Yes,1st,female,1,0,39.6,C,48,1,2,small,adult,adult
No,1st,male,0,0,227.525,C,40,NS,1,alone,adult,adult
Yes,1st,female,1,1,79.65,S,39,8,3,small,adult,adult
Yes,3rd,female,1,0,17.4,S,36,13,2,small,adult,adult
No,3rd,male,0,0,7.75,Q,30,NS,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,40,NS,1,alone,adult,adult
No,2nd,male,0,0,13.5,S,28,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,39,NS,1,alone,adult,adult
No,3rd,female,0,0,8.05,S,63,NS,1,alone,adult,senior
No,3rd,male,2,0,24.15,S,24,NS,3,small,adult,young adult
No,3rd,male,0,0,7.8958,S,19,NS,1,alone,adult,young adult
No,3rd,female,0,4,21.075,S,29,NS,5,medium,adult,young adult
No,3rd,male,0,0,7.2292,C,28,NS,1,alone,adult,young adult
Yes,3rd,male,0,0,7.8542,S,32,15,1,alone,adult,adult
Yes,2nd,male,0,0,10.5,S,62,15,1,alone,adult,senior
Yes,1st,female,2,0,51.4792,S,53,2,3,small,adult,adult
Yes,1st,male,0,0,26.3875,S,36,5,1,alone,adult,adult
Yes,3rd,female,0,0,7.75,Q,22,D,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,16,NS,1,alone,adult,young adult
No,3rd,male,0,0,14.5,S,19,NS,1,alone,adult,young adult
Yes,2nd,female,0,0,13,S,34,12,1,alone,adult,adult
Yes,1st,female,1,0,55.9,S,39,11,2,small,adult,adult
No,3rd,female,1,0,14.4583,C,18,NS,2,small,adult,young adult
Yes,3rd,male,0,0,7.925,S,32,15,1,alone,adult,adult
Yes,2nd,female,1,1,30,S,25,12,3,small,adult,young adult
Yes,1st,female,1,1,110.8833,C,39,4,3,small,adult,adult
No,2nd,male,0,0,26,S,55,NS,1,alone,adult,adult
No,1st,male,0,0,40.125,C,36,NS,1,alone,adult,adult
No,3rd,male,0,0,8.7125,C,16,NS,1,alone,adult,young adult
Yes,1st,female,0,2,79.65,S,18,8,3,small,adult,young adult
No,2nd,male,0,0,15,S,47,NS,1,alone,adult,adult
Yes,1st,male,1,1,79.2,C,60,5,3,small,adult,senior
No,3rd,male,0,0,8.05,S,22,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,22,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.125,S,35,NS,1,alone,adult,adult
Yes,1st,female,1,0,78.2667,C,52,4,2,small,adult,adult
No,3rd,male,0,0,7.25,S,47,NS,1,alone,adult,adult
No,3rd,female,0,2,7.75,Q,40,NS,3,small,adult,adult
No,2nd,male,1,0,26,S,36,NS,2,small,adult,adult
No,3rd,male,1,1,24.15,S,36,NS,3,small,adult,adult
Yes,2nd,female,0,0,33,S,31,11,1,alone,adult,adult
No,3rd,male,0,0,13.378473295454546,S,49,NS,1,alone,adult,adult
No,3rd,male,0,0,7.225,C,18,NS,1,alone,adult,young adult
Yes,1st,male,1,0,56.9292,C,49,1,2,small,adult,adult
Yes,2nd,female,2,1,27,S,24,12,4,small,adult,young adult
No,3rd,male,0,0,7.8958,S,42,NS,1,alone,adult,adult
No,1st,male,0,0,42.4,S,37,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,44,NS,1,alone,adult,adult
Yes,1st,male,0,0,26.55,C,40,15,1,alone,adult,adult
No,3rd,male,1,0,15.55,S,36,A,2,small,adult,adult
No,3rd,male,0,0,7.8958,S,30,NS,1,alone,adult,adult
Yes,1st,male,0,0,30.5,S,27,3,1,alone,adult,young adult
Yes,2nd,female,1,2,41.5792,C,22,14,4,small,adult,young adult
Yes,1st,female,0,0,153.4625,S,40,3,1,alone,adult,adult
No,3rd,female,1,5,31.275,S,39,NS,7,medium,adult,adult
No,3rd,male,0,0,7.05,S,21,NS,1,alone,adult,young adult
Yes,3rd,female,1,0,15.5,Q,25,16,2,small,adult,young adult
No,3rd,male,0,0,7.75,Q,22,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,35,NS,1,alone,adult,adult
Yes,2nd,female,1,2,65,S,24,9,4,small,adult,young adult
No,3rd,male,1,1,14.4,S,34,NS,3,small,adult,adult
No,3rd,female,1,0,16.1,S,26,NS,2,small,adult,young adult
Yes,2nd,female,2,1,39,S,4,11,4,small,child,child
No,2nd,male,0,0,10.5,S,26,NS,1,alone,adult,young adult
No,3rd,male,1,0,14.4542,C,27,NS,2,small,adult,young adult
Yes,1st,male,1,0,52.5542,S,42,5,2,small,adult,adult
Yes,3rd,male,1,1,15.7417,C,20,C,3,small,adult,young adult
No,3rd,male,0,0,7.8542,S,21,NS,1,alone,adult,young adult
No,3rd,male,0,0,16.1,S,20,NS,1,alone,adult,young adult
No,1st,male,0,0,32.3208,S,61,NS,1,alone,adult,senior
No,2nd,male,0,0,12.35,Q,52,NS,1,alone,adult,adult
Yes,1st,female,0,0,77.9583,S,21,10,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,26,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.7333,Q,17,NS,1,alone,adult,young adult
Yes,1st,male,0,0,30,S,47,B,1,alone,adult,adult
No,3rd,male,0,0,7.0542,S,51,NS,1,alone,adult,adult
Yes,1st,male,0,0,30.5,C,32,3,1,alone,adult,adult
No,1st,male,0,0,89.44748196202532,S,29,NS,1,alone,adult,young adult
No,3rd,female,3,2,27.9,S,9,NS,6,medium,child,child
Yes,2nd,female,0,0,13,S,28,13,1,alone,adult,young adult
No,3rd,male,0,0,7.925,S,32,NS,1,alone,adult,adult
No,2nd,male,1,1,26.25,S,31,NS,3,small,adult,adult
No,3rd,female,0,5,39.6875,S,41,NS,6,medium,adult,adult
No,3rd,male,1,0,16.1,S,36,NS,2,small,adult,adult
No,3rd,male,0,0,7.8542,S,20,NS,1,alone,adult,young adult
Yes,1st,female,0,0,69.3,C,24,9,1,alone,adult,young adult
No,3rd,female,3,2,27.9,S,2,NS,6,medium,child,child
Yes,3rd,male,0,0,56.4958,S,32,C,1,alone,adult,adult
Yes,3rd,female,2,1,19.2583,C,4,C,4,small,child,child
Yes,1st,male,1,0,76.7292,C,48,3,2,small,adult,adult
No,3rd,male,0,0,7.8958,S,19,NS,1,alone,adult,young adult
Yes,1st,male,0,0,35.5,C,56,3,1,alone,adult,adult
No,3rd,male,0,0,7.55,S,18,NS,1,alone,adult,young adult
Yes,3rd,female,0,0,7.55,S,24,C,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,23,NS,1,alone,adult,young adult
Yes,2nd,female,0,1,23,S,19,NA,2,small,adult,young adult
No,3rd,male,0,0,8.4333,S,21,NS,1,alone,adult,young adult
Yes,3rd,female,0,0,7.8292,Q,16,13,1,alone,adult,young adult
No,3rd,female,0,0,6.75,Q,18,NS,1,alone,adult,young adult
No,2nd,male,2,0,73.5,S,24,NS,3,small,adult,young adult
No,3rd,male,0,0,7.8958,S,27,NS,1,alone,adult,young adult
No,3rd,female,1,1,15.5,Q,32,NS,3,small,adult,adult
No,2nd,male,0,0,13,S,23,NS,1,alone,adult,young adult
No,1st,male,0,2,113.275,C,58,NS,3,small,adult,adult
Yes,1st,male,2,0,133.65,S,49,5,3,small,adult,adult
No,3rd,male,0,0,7.225,C,40,NS,1,alone,adult,adult
No,1st,male,0,0,25.5875,S,37,NS,1,alone,adult,adult
No,3rd,male,0,0,7.4958,S,36,NS,1,alone,adult,adult
Yes,3rd,male,1,0,7.925,S,20,15,2,small,adult,young adult
No,2nd,male,2,0,73.5,S,30,NS,3,small,adult,adult
No,2nd,male,0,0,13,S,25,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.775,S,49,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,43,NS,1,alone,adult,adult
Yes,1st,female,1,0,52,S,48,5,2,small,adult,adult
Yes,2nd,female,1,1,39,S,40,14,3,small,adult,adult
No,1st,male,1,0,52,S,31,NS,2,small,adult,adult
No,2nd,male,0,0,10.5,S,71,NS,1,alone,adult,senior
Yes,2nd,male,0,0,13,S,32,9,1,alone,adult,adult
No,2nd,male,0,0,21.648108487084873,S,15,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.775,S,18,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,33,NS,1,alone,adult,adult
Yes,3rd,female,0,0,9.8417,S,18,15,1,alone,adult,young adult
No,3rd,female,1,6,46.9,S,43,NS,8,large,adult,adult
Yes,1st,male,0,1,512.3292,C,36,3,2,small,adult,adult
No,3rd,female,0,0,8.1375,Q,26,NS,1,alone,adult,young adult
Yes,1st,male,0,0,76.7292,C,27,3,1,alone,adult,young adult
No,3rd,male,0,0,9.225,S,20,NS,1,alone,adult,young adult
No,3rd,male,5,2,46.9,S,14,NS,8,large,child,child
No,2nd,male,1,1,39,S,60,NS,3,small,adult,senior
No,2nd,male,1,2,41.5792,C,25,NS,4,small,adult,young adult
No,3rd,male,4,1,39.6875,S,15,NS,6,medium,adult,young adult
No,3rd,male,0,0,10.1708,S,19,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.7958,S,18,NS,1,alone,adult,young adult
Yes,1st,female,0,1,211.3375,S,16,2,2,small,adult,young adult
Yes,1st,male,1,0,57,S,31,3,2,small,adult,adult
Yes,3rd,female,0,1,13.4167,C,4,15,2,small,child,child
Yes,3rd,male,0,0,56.4958,S,37,C,1,alone,adult,adult
No,3rd,male,0,0,7.225,C,25,NS,1,alone,adult,young adult
No,1st,male,0,0,26.55,S,59,NS,1,alone,adult,adult
No,2nd,male,0,0,13.5,S,52,NS,1,alone,adult,adult
No,3rd,male,0,0,8.05,S,44,NS,1,alone,adult,adult
Yes,3rd,female,0,0,7.7333,Q,19,16,1,alone,adult,young adult
No,1st,male,1,1,110.8833,C,49,NS,3,small,adult,adult
No,3rd,male,0,0,7.65,S,42,NS,1,alone,adult,adult
Yes,1st,female,1,0,227.525,C,18,4,2,small,adult,young adult
Yes,1st,male,0,0,26.2875,S,35,5,1,alone,adult,adult
No,3rd,female,0,1,14.4542,C,12,NS,2,small,child,child
No,3rd,male,0,0,7.7417,Q,29,NS,1,alone,adult,young adult
No,3rd,male,1,0,7.8542,S,26,NS,2,small,adult,young adult
No,2nd,male,0,0,26,S,38,NS,1,alone,adult,adult
Yes,2nd,female,0,0,13.5,S,45,9,1,alone,adult,adult
Yes,1st,male,0,0,26.2875,S,42,5,1,alone,adult,adult
Yes,1st,female,0,0,151.55,S,22,11,1,alone,adult,young adult
Yes,3rd,male,1,1,15.2458,C,4,C,3,small,child,child
Yes,1st,female,0,0,49.5042,C,24,6,1,alone,adult,young adult
No,1st,male,0,0,26.55,S,45,NS,1,alone,adult,adult
Yes,1st,male,1,0,52,S,48,5,2,small,adult,adult
No,3rd,male,0,0,9.4833,S,29,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,52,NS,1,alone,adult,adult
No,3rd,male,0,0,7.65,S,19,NS,1,alone,adult,young adult
Yes,1st,female,0,0,227.525,C,39,4,1,alone,adult,adult
Yes,2nd,female,0,0,10.5,S,27,16,1,alone,adult,young adult
No,3rd,male,0,0,15.5,Q,19,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.775,S,33,NS,1,alone,adult,adult
Yes,2nd,female,0,1,33,S,6,11,2,small,child,child
No,3rd,male,1,0,7.0542,S,17,NS,2,small,adult,young adult
No,2nd,male,0,0,13,S,34,NS,1,alone,adult,adult
No,2nd,male,0,0,13,S,50,NS,1,alone,adult,adult
Yes,1st,male,1,0,53.1,S,27,5,2,small,adult,young adult
No,3rd,male,0,0,8.6625,S,20,NS,1,alone,adult,young adult
Yes,2nd,female,3,0,21,S,30,12,4,small,adult,adult
Yes,3rd,female,0,0,7.7375,Q,28,16,1,alone,adult,young adult
No,2nd,male,1,0,26,S,25,NS,2,small,adult,young adult
No,3rd,female,1,0,7.925,S,25,NS,2,small,adult,young adult
Yes,1st,female,0,0,211.3375,S,29,2,1,alone,adult,young adult
No,3rd,male,0,0,18.7875,C,11,NS,1,alone,child,child
No,2nd,male,0,0,21.648108487084873,S,39,NS,1,alone,adult,adult
No,2nd,male,0,0,13,S,23,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,23,NS,1,alone,adult,young adult
No,3rd,male,0,0,16.1,S,28,NS,1,alone,adult,young adult
No,3rd,female,1,3,34.375,S,48,NS,5,medium,adult,adult
Yes,1st,male,0,0,512.3292,C,35,3,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,20,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8958,S,32,NS,1,alone,adult,adult
Yes,1st,male,0,0,30,S,45,3,1,alone,adult,adult
No,1st,male,1,0,78.85,S,36,NS,2,small,adult,adult
Yes,1st,female,2,2,262.375,C,21,4,5,medium,adult,young adult
No,3rd,male,1,0,16.1,S,27,NS,2,small,adult,young adult
Yes,3rd,male,0,0,7.925,S,31,9,1,alone,adult,adult
No,1st,male,1,1,71,S,70,NS,3,small,adult,senior
No,3rd,male,1,1,20.25,S,16,NS,3,small,adult,young adult
Yes,2nd,female,0,0,13,S,30,10,1,alone,adult,adult
No,1st,male,1,0,53.1,S,18,NS,2,small,adult,young adult
No,3rd,male,0,0,7.75,Q,31,NS,1,alone,adult,adult
Yes,2nd,female,1,1,23,S,4,14,3,small,child,child
Yes,3rd,male,0,1,12.475,S,7,14,2,small,child,child
No,3rd,male,0,0,9.5,S,35,NS,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,23,NS,1,alone,adult,young adult
Yes,2nd,female,1,2,65,S,48,9,4,small,adult,adult
Yes,2nd,male,1,1,14.5,S,1,4,3,small,child,child
No,3rd,male,0,0,7.7958,S,24,NS,1,alone,adult,young adult
No,2nd,male,0,0,11.5,S,18,NS,1,alone,adult,young adult
No,3rd,male,0,0,8.05,S,34,NS,1,alone,adult,adult
Yes,1st,female,0,0,86.5,S,34,8,1,alone,adult,adult
No,3rd,male,0,0,14.5,S,21,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.125,S,41,NS,1,alone,adult,adult
Yes,3rd,male,0,0,7.2292,C,27,15,1,alone,adult,young adult
Yes,1st,female,1,2,120,S,36,4,4,small,adult,adult
No,3rd,male,0,0,7.775,S,16,NS,1,alone,adult,young adult
Yes,1st,female,1,0,77.9583,S,51,10,2,small,adult,adult
No,1st,male,0,0,39.6,C,45,NS,1,alone,adult,adult
No,3rd,female,0,0,7.75,Q,32,NS,1,alone,adult,adult
No,3rd,male,1,0,24.15,Q,27,NS,2,small,adult,young adult
No,3rd,male,0,0,8.3625,S,32,NS,1,alone,adult,adult
No,3rd,male,0,0,9.5,S,24,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.8542,S,48,NS,1,alone,adult,adult
No,2nd,female,0,0,10.5,S,57,NS,1,alone,adult,adult
No,3rd,male,0,0,7.225,C,29,NS,1,alone,adult,young adult
Yes,2nd,female,1,3,23,S,54,4,5,medium,adult,adult
No,3rd,male,0,0,7.75,S,18,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.75,Q,20,NS,1,alone,adult,young adult
Yes,3rd,female,0,0,12.475,S,6,13,1,alone,child,child
No,3rd,male,0,0,7.7375,Q,22,NS,1,alone,adult,young adult
Yes,1st,female,0,1,211.3375,S,43,2,2,small,adult,adult
Yes,3rd,female,0,0,7.2292,C,15,C,1,alone,adult,young adult
Yes,1st,female,1,0,57,S,17,3,2,small,adult,young adult
No,1st,male,0,0,30,S,29,NS,1,alone,adult,young adult
No,3rd,male,1,2,23.45,S,35,NS,4,small,adult,adult
No,3rd,male,0,0,7.05,S,25,NS,1,alone,adult,young adult
No,3rd,male,0,0,7.25,S,25,NS,1,alone,adult,young adult
Yes,3rd,female,0,0,7.4958,S,18,16,1,alone,adult,young adult
No,3rd,male,4,1,29.125,Q,8,NS,6,medium,child,child
Yes,3rd,male,1,2,20.575,S,1,10,4,small,child,child
No,1st,male,0,0,79.2,C,46,NS,1,alone,adult,adult
No,3rd,male,0,0,7.75,Q,23,NS,1,alone,adult,young adult
No,2nd,male,0,0,26,S,18,NS,1,alone,adult,young adult
No,3rd,female,8,2,69.55,S,20,NS,11,large,adult,young adult
No,1st,male,0,0,30.6958,C,42,14,1,alone,adult,adult
No,3rd,male,0,0,7.8958,S,25,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,39,NS,1,alone,adult,adult
Yes,1st,female,0,0,25.9292,S,49,8,1,alone,adult,adult
Yes,3rd,female,0,0,8.6833,S,31,NA,1,alone,adult,adult
No,3rd,male,0,0,7.2292,C,33,NS,1,alone,adult,adult
No,3rd,female,1,1,24.15,S,30,NS,3,small,adult,adult
No,2nd,male,0,0,13,S,34,NS,1,alone,adult,adult
Yes,2nd,female,1,1,26.25,S,31,14,3,small,adult,adult
Yes,1st,male,1,2,120,S,11,4,4,small,child,child
Yes,3rd,male,0,1,8.5167,C,0.42,16,2,small,child,child
Yes,3rd,male,0,0,6.975,S,27,15,1,alone,adult,young adult
No,3rd,male,0,0,7.775,S,31,NS,1,alone,adult,adult
No,1st,male,0,0,89.44748196202532,S,39,NS,1,alone,adult,adult
No,3rd,female,0,0,7.775,S,18,NS,1,alone,adult,young adult
No,2nd,male,0,0,13,S,31,NS,1,alone,adult,adult
Yes,1st,female,1,0,53.1,S,32,5,2,small,adult,adult
No,3rd,male,0,0,7.8875,S,23,NS,1,alone,adult,young adult
No,3rd,male,0,0,24.15,S,39,NS,1,alone,adult,adult
